Tinh,Huyen,Xa,KhuVuc,SoNguoiTrongHo,ChiTieuGiaoDucTrongNam,ChiTieuYTe,CTAnUongDipLeTrongNam,CTAnUongTrongThang,CTSinhHoatNgoaiAnUongTrongThang,CuaCaiTrongNam,CuaCaiGiaTriTrongNam,ChiTieuKhac,ChiTieuTaiSanKhongHaoMonTrong10Nam,ThueNhaDienNuocTrongNam,TongChiTieu,DieuTriNgoaiTru,DieuTriNoiTru,Thuoc,ThietBiYTe,Tuoi,GioiTinh,HoNgheo
1,2,67,1,4,332.5,82,409.75,3691,1579,3065.16674804688,3065.16674804688,256.666656494141,0,1090.66662597656,13571.91796875,0,0,58.3333333333333,8.33333333333333,55,1,0
1,2,67,1,5,0,326.666656494141,444.583343505859,5224,1956,2694.41674804688,2627.75,675.833312988281,0,700,14649.25,141.666666666667,0,333.333333333333,36.6666666666667,58,1,0
1,2,79,1,3,316.666656494141,84.5833358764648,406.416656494141,5542,1866,2692.16674804688,2692.16674804688,925,0,248,14773,0,0,58.3333333333333,10.8333333333333,32,1,0
1,2,79,1,3,0,126.666664123535,174.41667175293,1875,631,197.66667175293,197.66667175293,35.8333320617676,0,179.66667175293,3417.91674804688,0,0,83.3333333333333,10.8333333333333,50,1,0
1,2,79,1,4,1367.91662597656,120.833335876465,354.666656494141,5120,1526,1725.91662597656,1725.91662597656,475.833343505859,0,232,12649.0830078125,31.6666666666667,0,50,8.33333333333333,36,0,0
1,3,91,1,5,0,258.333343505859,422.75,4968,1754,1661.25,1661.25,669.166687011719,3166.66666666667,420,14981.41796875,216.666666666667,0,33.3333333333333,8.33333333333333,64,1,0
1,3,91,1,2,0,1258.33337402344,257,2388,685,305.666656494141,305.666656494141,454.166656494141,0,135,5788.8330078125,8.33333333333333,1166.66666666667,141.666666666667,25,66,0,0
1,3,91,1,3,0,429.166656494141,207.66667175293,3191,875,610.833312988281,565,320.833343505859,0,210,6409.5,191.666666666667,208.333333333333,25,4.16666666666667,24,1,0
1,3,106,1,2,0,62.5,334.5,3138,1786,1843.33337402344,1843.33337402344,658.333312988281,750,214.66667175293,10630.6669921875,0,0,50,12.5,51,1,0
1,3,106,1,4,0,79.1666641235352,335.916656494141,3637,1022,2255,2255,533.333312988281,158.333333333333,303.333343505859,10579.08203125,29.1666666666667,0,41.6666666666667,8.33333333333333,54,1,0
1,3,106,1,4,0,195.83332824707,326.416656494141,3557,1104,1136.66662597656,1136.66662597656,444.166656494141,0,336,8236.75,150,0,41.6666666666667,4.16666666666667,80,0,0
1,3,112,1,4,618.333312988281,172.5,344.75,3719,864,1125.83337402344,1125.83337402344,308.333343505859,0,430,8708.5830078125,125,0,25,15,40,1,0
1,3,112,1,5,478.333343505859,481.666656494141,427.333343505859,3914,1995,931.666687011719,931.666687011719,358.333343505859,0,625,10143,62.5,316.666666666667,20.8333333333333,6.66666666666667,49,1,0
1,3,112,1,6,685.833312988281,416.666656494141,522.833312988281,5721,1745,1661.66662597656,1661.66662597656,612.5,0,838.333312988281,13865.5,333.333333333333,0,37.5,12.5,60,1,0
1,4,118,1,4,900,28.3333339691162,387.333343505859,4171,1590,2232.91674804688,2232.91674804688,1183.33337402344,4083.33333333333,249.5,17058.666015625,7.5,0,16.6666666666667,4.16666666666667,52,0,0
1,4,118,1,4,1245.83337402344,75,832.333312988281,3886,1415,1337.5,920.833312988281,383.333343505859,3883.33333333333,270.333343505859,14249.4990234375,0,0,41.6666666666667,16.6666666666667,57,1,0
1,4,118,1,4,791.666687011719,50,278.166656494141,4517,730,850,850,308.333343505859,1125,179,9679.1669921875,0,0,41.6666666666667,8.33333333333333,81,1,0
1,4,124,1,5,0,241.66667175293,595.75,9776,3898,2203.33325195313,2178.33325195313,656.666687011719,0,415,19964.75,166.666666666667,0,33.3333333333333,41.6666666666667,56,0,0
1,4,124,1,2,0,366.666656494141,232.91667175293,3044.5,464,2429.16674804688,2404.16674804688,141.66667175293,0,262,9345.083984375,141.666666666667,0,166.666666666667,58.3333333333333,63,0,0
1,4,124,1,2,0,126.666664123535,269.583343505859,5024,1598,1128.83337402344,1128.83337402344,442.5,0,236.83332824707,9955.25,104.166666666667,0,20.8333333333333,1.66666666666667,41,1,0
1,4,133,1,4,925,308.333343505859,241.66667175293,3529,535,658.333312988281,658.333312988281,466.666656494141,2666.66666666667,4388.66650390625,14377.666015625,200,0,83.3333333333333,25,55,1,0
1,4,133,1,4,416.666656494141,66.6666641235352,409.583343505859,5813,1090,1304.16662597656,1304.16662597656,929.166687011719,0,700,12033.4169921875,0,0,41.6666666666667,25,58,1,0
1,4,133,1,3,363.333343505859,100,344.083343505859,5959,780,1529.16662597656,1529.16662597656,100,0,219,10923.75,41.6666666666667,0,41.6666666666667,16.6666666666667,39,1,0
1,4,139,1,4,104.166664123535,439.166656494141,327.75,7513,948,704.583312988281,692.083312988281,282.916656494141,29.1666666666667,311,11351.8330078125,405.833333333333,0,25,8.33333333333333,41,1,0
1,4,139,1,4,858.333312988281,99.1666641235352,492.583343505859,6558,1350,1527,1510.33337402344,659.583312988281,583.333333333333,345.333343505859,13983.666015625,54.1666666666667,0,33.3333333333333,4.16666666666667,51,1,0
1,4,139,1,2,0,85,272.333343505859,3495.5,535,356.083343505859,326.916656494141,278.75,29.1666666666667,224.66667175293,5603.416015625,64.1666666666667,0,16.6666666666667,4.16666666666667,71,0,0
